Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR21159094_1										30.070579681199494	4.535027220608517	7.689409928187044	2.3838729260646128	3.9245661388985247	1.1262189125054274	0.84102588539594
SRR21159094_2										27.182251826304537	3.4405665085885606	6.784722607738057	2.398187670296867	3.329544801573288	0.32806413088969877	0.11211689040004104
SRR21159097_1										23.275629224036624	6.123536503173683	13.07583064906616	5.260761929502399	10.429479474859678	3.596230438747044	5.463171184342412
SRR21159097_1_paired										22.814727106578207	6.2574561103544495	13.771609312614114	5.3883551114637145	11.465992588523367	4.1256823037857275	6.206235128428204
SRR21159097_2										23.253062142550593	5.9975969981937265	13.107491149030862	5.595751318952652	11.019029626289608	2.1300133261000265	1.377438587033795
SRR21159097_2_paired										23.234302035242433	5.994029115648733	13.065162337160332	5.588724629228156	11.013265731703225	2.134409886780538	1.4280337214858878
SRR21159098_1										35.186943701736425	8.253858726095789	9.141662924526155	1.0907208652774165	0.5493250698048445	0.09356253260493173	0.0
SRR21159098_1_paired										36.442378875050984	8.915134275230944	9.914047118205794	1.1523194834500845	0.6362165211346265	0.08960619724980602	0.0
SRR21159098_2										32.8445042882954	3.185536760633579	1.967186720319293	0.15683858586312197	0.05837603970283484	0.0	0.0
SRR21159098_2_paired										32.71269397695576	3.1174791027757163	1.9485149346757098	0.165854178385249	0.0804090920668139	0.0	0.0
SRR22311013_1										25.159581472409947	7.1051009045829865	16.04854756533471	6.1947224896977096	10.286116917828846	1.8186652657593911	3.2429385625518234
SRR22311013_1_paired										23.716901469185316	7.2004583103676785	17.310362280215877	7.073540181891189	12.754785620517456	2.256490126424654	1.8892978931594282
SRR22311013_2										23.62927106004639	6.973211134382497	17.004977817500826	6.887634552752737	11.48037395146419	1.9813141889877748	2.085524395986829
SRR22311013_2_paired										23.88948026093104	7.174113891993652	17.407216455470614	7.02468760112042	11.623842732913545	1.8443637840832545	1.311210590082423
SRR22311015_1										31.50129806341638	4.379816348697986	4.357876706505641	0.7666947640939898	0.4741178208045293	0.011992750062935006	2.7587760333383256
SRR22311015_1_paired										34.540598273779	5.0210197281561975	4.938775703031972	0.9285674681244185	0.5293333334074201	0.012290843489251127	0.17907942409264105
SRR22311015_2										31.567117537244183	4.985162556368363	5.389408862723688	1.059709521566138	0.9144945062100053	0.07147868887535021	1.5567575280903807
SRR22311015_2_paired										32.280430703839514	5.0909612042592745	5.390275685404696	1.0088380607218312	0.7744863071456844	0.02391205215924415	0.1451201572849687
SRR22311018_1										23.50999923312849	6.194640492171975	14.591792605272058	6.182227516642881	10.933434697769004	1.7028579609549135	3.6284308738341773
SRR22311018_1_paired										22.752491913828806	6.191761952431626	15.353389853108593	7.270064568122953	13.205619636002371	2.011183066636788	2.027378537890818
SRR22311018_2										22.70978543277047	6.137167876072459	15.301248121643338	7.067034158918169	11.718655860757345	2.083816873190175	1.9705623305778317
SRR22311018_2_paired										22.775205113445544	6.302800795619587	15.623581134070063	7.258653792628931	11.913814463824457	1.9633093686325025	1.2864297683826416
SRR22311020_1										27.027484040816297	4.19278123008464	5.285557222927043	1.3656057713310588	1.909615462807896	0.16385187967212494	1.7859016052113126
SRR22311020_1_paired										28.629037127102453	4.571642096901904	5.710474994263942	1.4802648887906256	2.125674112062469	0.19176539341931506	0.09951076800093274
SRR22311020_2										27.086729479367804	4.251454909564489	5.980558926979398	1.8385663858164407	2.294273913361082	0.24290413995223123	0.982860953473669
SRR22311020_2_paired										27.52310011124565	4.296523322233106	5.999290516162299	1.8406309279919641	2.146461157650262	0.20761654770014562	0.2811145818004248
