gene_id,SRR29040880,SRR29040882
gene-SUSD2|SUSD2,0,0
gene-LOC134397870|LOC134397870,0,0
gene-ZNRF2|ZNRF2,2249,772
gene-ENTPD3|ENTPD3,774,538
gene-RPL14|RPL14,10486,30887
gene-GASK1A|GASK1A,1275,18
gene-POMGNT2|POMGNT2,5625,98
gene-SNRK|SNRK,1945,3130
gene-ABHD5|ABHD5,627,1642
gene-ANO10|ANO10,5552,944
gene-TOPAZ1|TOPAZ1,1332,0
gene-TCAIM|TCAIM,1375,220
gene-TRIM71|TRIM71,2490,0
gene-CNOT10|CNOT10,8461,1046
gene-CMTM6|CMTM6,0,0
gene-CMTM7|CMTM7,45,17
gene-DYNC1LI1|DYNC1LI1,7768,2132
gene-GPD1L|GPD1L,38,209
gene-CMTM8|CMTM8,1869,416
gene-OSBPL10|OSBPL10,6199,677
gene-GADL1|GADL1,197,210
gene-TGFBR2|TGFBR2,1061,772
gene-STT3B|STT3B,19129,6317
gene-ZCWPW2|ZCWPW2,3,0
gene-CMC1|CMC1,0,0
gene-AZI2|AZI2,923,398
gene-RBMS3|RBMS3,153,518
gene-LOC134413429|LOC134413429,12,169
gene-LOC134413428|LOC134413428,49,367
gene-EOMES|EOMES,19622,0
gene-MKX|MKX,128,0
gene-RAB18|RAB18,9656,2455
gene-ODAD2|ODAD2,1722,4709
gene-MPP7|MPP7,925,504
gene-BAMBI|BAMBI,326,419
gene-MAP3K8|MAP3K8,664,254
gene-MTPAP|MTPAP,1725,262
gene-JCAD|JCAD,1389,1436
gene-LOC134398004|LOC134398004,1140,51
gene-WAC|WAC,34713,6007
gene-ZEB1|ZEB1,751,1647
gene-SVIL|SVIL,9821,6685
gene-ARHGAP12|ARHGAP12,1777,954
gene-KIF5B|KIF5B,18924,6687
gene-EPC1|EPC1,21210,2415
gene-LOC134398138|LOC134398138,33,0
gene-ITGB1|ITGB1,5155,9017
gene-NRP1|NRP1,866,2728
gene-PARD3|PARD3,2573,1266
gene-CREM|CREM,792,832
gene-CCNY|CCNY,763,285
gene-FZD8|FZD8,1101,298
gene-KLF6|KLF6,899,4432
gene-CUL2|CUL2,51795,3512
gene-PITRM1|PITRM1,1525,263
gene-PFKP|PFKP,1544,6200
gene-ADARB2|ADARB2,5,0
gene-WDR37|WDR37,5562,799
gene-IDI1|IDI1,2007,556
gene-GTPBP4|GTPBP4,11476,19067
gene-LARP4B|LARP4B,10465,3609
gene-DIP2C|DIP2C,696,1427
gene-VIPR2|VIPR2,24,149
gene-ZMYND11|ZMYND11,3298,2386
gene-DYNC2I1|DYNC2I1,1196,1683
gene-ESYT2|ESYT2,4973,3558
gene-NCAPG2|NCAPG2,3406,112
gene-PTPRN2|PTPRN2,364,570
gene-DNAJB6|DNAJB6,9015,6240
gene-SHH|SHH,17,14
gene-RNF32|RNF32,412,483
gene-LMBR1|LMBR1,4065,727
gene-UBE3C|UBE3C,12523,1658
gene-MNX1|MNX1,1338,321
gene-NOM1|NOM1,188,455
gene-CNPY1|CNPY1,87,12
gene-RBM33|RBM33,3470,745
gene-INSIG1|INSIG1,1242,1111
gene-PAXIP1|PAXIP1,2716,806
gene-ACTR3B|ACTR3B,848,92
gene-XRCC2|XRCC2,170,59
gene-DPP6|DPP6,143,0
gene-KMT2C|KMT2C,5208,6786
gene-GALNT11|GALNT11,4247,652
gene-PRKAG2|PRKAG2,5231,2701
gene-WDR86|WDR86,30,0
gene-RHEB|RHEB,4730,4082
gene-NUB1|NUB1,3289,1271
gene-C1H9orf152|C1H9orf152,771,40
gene-XYLB|XYLB,311,51
gene-EXOG|EXOG,263,75
gene-ACVR2B|ACVR2B,55,96
gene-LOC134398770|LOC134398770,122,0
gene-LOC134413434|LOC134413434,4,0
gene-LOC134398778|LOC134398778,45,1797
gene-TTC21A|TTC21A,0,0
gene-XIRP1|XIRP1,0,87
gene-CSRNP1|CSRNP1,2157,428
gene-WDR48|WDR48,18316,1143
gene-GORASP1|GORASP1,1454,1090
gene-MYD88|MYD88,0,0
gene-OXSR1|OXSR1,2279,340
gene-ACAA1|ACAA1,261,179
gene-LOC134398877|LOC134398877,1413,436
gene-DLEC1|DLEC1,232,660
gene-PLCD1|PLCD1,367,506
gene-VILL|VILL,179,1573
gene-CTDSPL|CTDSPL,469,1267
gene-BET1|BET1,160,96
gene-GARS1|GARS1,5458,1928
gene-TFPI2|TFPI2,0,0
gene-CALCR|CALCR,737,18
gene-LOC134413535|LOC134413535,0,0
gene-LOC134413436|LOC134413436,66,0
gene-LOC134413302|LOC134413302,94,305
gene-HEPACAM2|HEPACAM2,10,35
gene-LOC134398971|LOC134398971,23,18
gene-CDK6|CDK6,206,123
gene-VPS50|VPS50,6975,750
gene-CLXN|CLXN,118,555
gene-FAM133B|FAM133B,2206,712
gene-RBM48|RBM48,3288,207
gene-PEX1|PEX1,6379,1022
gene-LOC134399021|LOC134399021,926,191
gene-GATAD1|GATAD1,3683,841
gene-LRRD1|LRRD1,46,3
gene-ANKIB1|ANKIB1,3375,2838
gene-KRIT1|KRIT1,4486,316
gene-MTERF1|MTERF1,285,49
gene-FZD1|FZD1,334,1100
gene-LOC134399160|LOC134399160,114,97
gene-LOC134399042|LOC134399042,85,78
gene-LOC134399171|LOC134399171,89,98
