gene_id,SRR28919955,SRR28919960,SRR28919961,SRR28919962,SRR28919963,SRR28919964
gene-CALM1|CALM1,1567,1154,349,225,385,2773
gene-LOC128340677|LOC128340677,0,0,0,0,0,0
gene-LOC128327890|LOC128327890,0,0,0,0,0,0
gene-NRDE2|NRDE2,0,0,0,0,0,0
gene-PSMC1|PSMC1,0,0,0,0,0,0
gene-TDP1|TDP1,0,0,0,0,0,0
gene-TTC8|TTC8,9,0,0,0,10,0
gene-ZC3H14|ZC3H14,0,0,0,0,0,0
gene-PTPN21|PTPN21,0,0,0,0,0,0
gene-FOXN3|FOXN3,36,130,79,201,894,184
gene-LOC128328842|LOC128328842,0,0,0,0,0,0
gene-LOC128328844|LOC128328844,0,0,0,0,0,0
gene-SPATA7|SPATA7,0,0,0,0,0,0
gene-LOC128336661|LOC128336661,0,0,0,0,0,0
gene-EML5|EML5,617,0,0,0,86,1077
gene-LOC128340420|LOC128340420,0,0,0,0,0,0
gene-FLRT2|FLRT2,19,8,9,5,3,60
gene-LOC128339490|LOC128339490,0,0,0,0,0,0
gene-SEL1L|SEL1L,162,68,17,0,211,206
gene-GTF2A1|GTF2A1,112,94,47,211,3987,959
gene-DIO2|DIO2,0,0,0,0,0,0
gene-CEP128|CEP128,0,0,0,0,0,0
gene-ISM2|ISM2,0,0,0,0,0,0
gene-AHSA1|AHSA1,36,0,0,21,180,133
gene-VIPAS39|VIPAS39,0,0,0,0,0,0
gene-SPTLC2|SPTLC2,0,0,0,0,0,0
gene-SAMD15|SAMD15,0,0,0,0,0,0
gene-TMED8|TMED8,0,0,0,0,0,0
gene-ADCK1|ADCK1,0,0,0,0,0,0
gene-LOC128341183|LOC128341183,0,0,0,0,0,0
gene-LOC128341184|LOC128341184,0,0,0,0,0,0
gene-SLIRP|SLIRP,0,0,0,0,0,0
gene-ALKBH1|ALKBH1,0,0,0,0,0,0
gene-SNW1|SNW1,212,101,70,383,2225,373
gene-NGB|NGB,0,0,0,0,0,0
gene-POMT2|POMT2,0,0,0,0,6,0
gene-IRF2BPL|IRF2BPL,3,2,2,1,11,11
gene-LOC128339217|LOC128339217,0,0,0,0,0,0
gene-LOC128339218|LOC128339218,0,0,0,0,0,0
gene-VASH1|VASH1,0,0,0,8,27,103
gene-TMEM63C|TMEM63C,0,0,0,0,0,0
gene-LRRC74A|LRRC74A,0,0,0,0,0,0
gene-ANGEL1|ANGEL1,5,0,0,0,0,0
gene-GPATCH2L|GPATCH2L,13,0,5,6,17,40
gene-IFT43|IFT43,0,0,0,0,0,0
gene-LOC128330268|LOC128330268,0,0,0,0,0,0
gene-ERG28|ERG28,18,0,3,31,205,56
gene-BATF|BATF,0,0,0,0,0,0
gene-JDP2|JDP2,0,9,0,8,32,14
gene-LOC128340586|LOC128340586,0,0,0,0,0,0
gene-LOC128340588|LOC128340588,0,0,0,0,0,0
gene-LOC128340587|LOC128340587,0,0,0,0,0,0
gene-TMED10|TMED10,113,156,70,185,0,481
gene-MLH3|MLH3,0,0,0,0,0,0
gene-NEK9|NEK9,47,0,24,40,0,0
gene-EIF2B2|EIF2B2,0,0,0,0,0,0
gene-TTLL5|TTLL5,0,0,0,0,0,98
gene-DLST|DLST,14,13,8,22,267,77
gene-PROX2|PROX2,0,0,0,0,0,0
gene-LOC128341400|LOC128341400,2,1,1,3,5,2
gene-LOC128341399|LOC128341399,1,1,1,1,2,1
gene-LOC128341401|LOC128341401,3,1,1,2,3,1
gene-LOC128341407|LOC128341407,1,1,0,1,2,1
gene-LOC128349982|LOC128349982,0,0,0,0,0,0
gene-FCF1|FCF1,0,0,0,0,0,0
gene-YLPM1|YLPM1,141,0,0,0,399,337
gene-LOC128349980|LOC128349980,0,0,0,0,0,0
gene-AREL1|AREL1,217,19,0,179,757,223
gene-LOC128328325|LOC128328325,0,6,0,0,0,3
gene-NRXN3|NRXN3,40,0,0,97,418,206
gene-LOC128323005|LOC128323005,0,0,0,0,0,0
gene-LOC128323013|LOC128323013,0,0,0,0,0,0
gene-LOC128323009|LOC128323009,0,0,0,0,0,0
gene-LOC128323001|LOC128323001,0,0,0,0,0,0
gene-TRNAV-UAC-2|TRNAV-UAC,0,0,0,0,0,0
gene-LIN52|LIN52,258,0,0,0,360,633
gene-ALDH6A1|ALDH6A1,58,178,180,0,0,17
gene-LOC128341405|LOC128341405,5,1,1,3,5,2
gene-LOC128341402|LOC128341402,5,1,1,3,5,2
gene-BBOF1|BBOF1,0,0,0,0,0,0
gene-ENTPD5|ENTPD5,0,0,0,0,0,0
gene-LOC128341404|LOC128341404,2,1,1,3,3,1
gene-LTBP2|LTBP2,0,0,0,0,0,0
gene-TRNAG-UCC|TRNAG-UCC,0,0,0,0,0,0
gene-LOC128336789|LOC128336789,0,0,0,0,0,0
gene-FBXO33|FBXO33,347,142,124,597,2165,466
gene-PNN|PNN,58,0,12,0,87,0
gene-MIA2|MIA2,0,0,0,0,0,0
gene-LOC128343470|LOC128343470,0,0,0,0,0,0
gene-PROSER1|PROSER1,0,0,0,0,0,0
gene-LOC128341220|LOC128341220,0,0,0,0,0,0
gene-LOC128341406|LOC128341406,4,1,1,3,5,2
gene-SEC23A|SEC23A,0,0,0,0,0,0
gene-MBIP|MBIP,0,0,0,0,0,0
gene-LOC128340598|LOC128340598,0,0,0,0,0,0
gene-BRMS1L|BRMS1L,24,0,0,25,0,0
gene-MIPOL1|MIPOL1,7,4,6,0,80,0
gene-SLC25A21|SLC25A21,0,0,0,0,0,0
gene-LOC128339655|LOC128339655,0,0,0,0,0,0
gene-LOC128339656|LOC128339656,0,0,0,0,0,0
gene-PSMA6|PSMA6,104,89,27,96,298,189
gene-LOC128326901|LOC128326901,0,0,0,0,0,0
gene-BAZ1A|BAZ1A,15,0,0,30,315,0
gene-LOC128326919|LOC128326919,0,0,0,0,0,0
gene-PRORP|PRORP,0,0,0,0,0,0
gene-LOC128326913|LOC128326913,0,0,0,0,0,0
gene-PPP2R3C|PPP2R3C,54,5,0,39,115,256
gene-CFL2|CFL2,77,0,0,117,713,245
gene-RALGAPA1|RALGAPA1,214,66,34,68,300,411
gene-LOC128340387|LOC128340387,0,0,0,0,0,0
gene-SNX6|SNX6,117,32,24,99,294,154
gene-LOC128341089|LOC128341089,0,0,0,0,0,0
gene-SRP54|SRP54,0,0,0,0,0,0
gene-DTD2|DTD2,0,0,0,0,0,0
gene-LOC128345356|LOC128345356,0,0,0,0,0,0
gene-ARHGAP5|ARHGAP5,228,99,39,188,1210,693
gene-AKAP6|AKAP6,0,0,0,0,17,0
gene-NPAS3|NPAS3,11,0,0,16,184,18
gene-LOC128339270|LOC128339270,0,0,0,0,0,0
gene-LOC128339267|LOC128339267,0,0,0,0,0,0
gene-LOC128339266|LOC128339266,0,0,0,0,0,0
gene-LOC128339269|LOC128339269,0,0,0,0,0,0
gene-LOC128339264|LOC128339264,0,0,0,0,0,0
gene-HEATR5A|HEATR5A,0,0,0,0,0,12
gene-LOC128351554|LOC128351554,0,0,0,0,0,0
gene-HECTD1|HECTD1,1299,673,385,725,3807,1273
gene-LOC128339851|LOC128339851,0,0,0,0,0,0
gene-AP4S1|AP4S1,0,0,0,0,0,0
gene-STRN3|STRN3,820,665,298,358,2250,1421
gene-SCFD1|SCFD1,0,146,42,123,270,274
gene-G2E3|G2E3,0,0,0,0,0,0
gene-LOC128339238|LOC128339238,0,0,0,0,0,0
gene-LOC128351622|LOC128351622,0,0,0,0,0,0
gene-LOC128342883|LOC128342883,0,0,0,0,0,0
gene-PRKD1|PRKD1,0,0,0,0,0,0
gene-AQR|AQR,0,0,0,0,163,0
gene-STXBP6|STXBP6,0,0,0,0,0,0
gene-NOVA1|NOVA1,617,35,16,405,576,949
gene-LOC128341334|LOC128341334,0,0,0,0,0,0
gene-LOC128326174|LOC128326174,0,0,0,0,0,0
gene-DPH6|DPH6,0,0,0,0,0,0
gene-LOC128349681|LOC128349681,0,0,0,0,0,0
gene-CDIN1|CDIN1,110,97,31,85,483,168
gene-LOC128349686|LOC128349686,0,0,0,0,0,0
gene-LOC128349679|LOC128349679,2,0,0,0,0,0
gene-SPRED1|SPRED1,10,32,34,8,14,4
gene-SCG5|SCG5,0,0,0,0,0,0
gene-RASGRP1|RASGRP1,0,0,0,0,0,0
gene-ARHGAP11A|ARHGAP11A,0,0,0,0,0,0
gene-FMN1|FMN1,0,0,0,0,13,0
gene-MEIS2|MEIS2,38,35,20,222,1100,415
gene-LOC128340971|LOC128340971,0,0,0,0,0,0
gene-EMC7|EMC7,0,104,0,166,273,250
gene-KATNBL1|KATNBL1,0,0,0,0,0,0
gene-SRP14|SRP14,0,0,0,0,0,0
gene-EIF2AK4|EIF2AK4,0,0,0,0,0,0
gene-BUB1B|BUB1B,0,0,0,0,0,0
gene-BMF|BMF,0,0,0,0,0,0
gene-AVEN|AVEN,0,0,0,0,0,0
gene-LOC128338337|LOC128338337,0,0,0,0,0,0
gene-LOC128338330|LOC128338330,0,0,0,0,0,0
gene-CHRM5|CHRM5,0,0,0,0,0,0
gene-PAK6|PAK6,51,2,0,95,1395,84
