gene_id,SRR21159093,SRR21159098
gene-HMGA2|HMGA2,153,148
gene-LOC123362087|LOC123362087,0,0
gene-LLPH|LLPH,1173,226
gene-TMBIM4|TMBIM4,1437,2518
gene-DYRK2|DYRK2,190,159
gene-CAND1|CAND1,1285,4077
gene-HELB|HELB,501,3110
gene-GRIP1|GRIP1,23,649
gene-IL22|IL22,0,0
gene-MDM1|MDM1,1122,918
gene-RAP1B|RAP1B,1543,3778
gene-NUP107|NUP107,652,4140
gene-CPM|CPM,9,991
gene-MDM2|MDM2,762,4698
gene-SLC35E3|SLC35E3,1472,3405
gene-LOC123343524|LOC123343524,5,22
gene-CPSF6|CPSF6,1301,2078
gene-LOC123343511|LOC123343511,968,72
gene-YEATS4|YEATS4,2320,4060
gene-FRS2|FRS2,83,1045
gene-LRRC10|LRRC10,0,4
gene-LOC123378463|LOC123378463,93,0
gene-LOC123348210|LOC123348210,0,0
gene-BEST3|BEST3,3,0
gene-CCT2|CCT2,1566,6978
gene-MYRFL|MYRFL,45,28
gene-LOC123345002|LOC123345002,886,5807
gene-CNOT2|CNOT2,568,4980
gene-LOC123362322|LOC123362322,0,0
gene-TSPAN8|TSPAN8,0,0
gene-KCNMB4|KCNMB4,62,214
gene-TRNAI-AAU|TRNAI-AAU,0,0
gene-PTPRB|PTPRB,430,144
gene-PTPRR|PTPRR,8,47
gene-LOC123369425|LOC123369425,0,0
gene-LGR5|LGR5,2694,98
gene-ZFC3H1|ZFC3H1,1376,2721
gene-THAP2|THAP2,64,598
gene-TMEM19|TMEM19,1474,1545
gene-RAB21|RAB21,1238,16572
gene-TBC1D15|TBC1D15,1277,3925
gene-LOC123343661|LOC123343661,55,0
gene-LOC123364331|LOC123364331,0,30
gene-TRHDE|TRHDE,8,114
gene-CAPS2|CAPS2,124,218
gene-LOC123343822|LOC123343822,29,8
gene-CCDC107|CCDC107,631,1277
gene-LOC123343809|LOC123343809,155,8
gene-LOC123343827|LOC123343827,26,3
gene-LOC123343814|LOC123343814,319,18
gene-KRR1|KRR1,296,2148
gene-PHLDA1|PHLDA1,15,8
gene-BBS10|BBS10,44,69
gene-OSBPL8|OSBPL8,654,1217
gene-CSRP2|CSRP2,12,7995
gene-E2F7|E2F7,4,5212
gene-LOC123376710|LOC123376710,0,0
gene-ZDHHC17|ZDHHC17,420,460
gene-NAP1L1|NAP1L1,16550,23054
gene-NAV3|NAV3,359,424
