gene_id,SRR15315613,SRR15315614,SRR15315615,SRR15315619,SRR15315620,SRR15829334,SRR15829335,SRR15829337,SRR15829338
gene-PURA|PURA,95,110,154,113,146,52,23,50,53
gene-LOC106732606|LOC106732606,266,268,346,311,265,79,84,118,47
gene-LOC112547349|LOC112547349,804,880,1044,1338,1081,524,547,509,424
gene-LOC112547335|LOC112547335,54,48,58,108,24,29,58,48,19
gene-LOC112547346|LOC112547346,27,8,0,12,5,0,0,20,0
gene-CYSTM1|CYSTM1,2130,985,1217,1251,898,2417,2457,2021,1509
gene-HBEGF|HBEGF,17,23,20,16,17,25,28,29,15
gene-SLC4A9|SLC4A9,35,27,67,117,52,0,9,7,4
gene-PFDN1|PFDN1,3621,4248,3103,5681,3912,462,537,518,312
gene-APBB3|APBB3,353,282,282,292,162,14,7,54,0
gene-ANKHD1|ANKHD1,4017,3566,3410,3713,4576,1652,1332,2287,1851
gene-LOC102453771|LOC102453771,364,369,162,215,480,136,79,145,120
gene-SLC35A4|SLC35A4,2566,2890,1871,3346,3120,566,564,633,393
gene-LOC112547505|LOC112547505,5,0,0,0,6,2,0,8,0
gene-LOC112547420|LOC112547420,20,19,8,23,27,0,0,0,0
gene-TMEM132B|TMEM132B,165,150,164,296,445,0,6,0,0
gene-LOC102457903|LOC102457903,69,37,24,44,34,0,0,3,0
gene-LOC102457735|LOC102457735,16,0,11,16,0,23,14,42,21
gene-LOC102461826|LOC102461826,38,19,32,21,38,0,0,0,0
gene-LOC102462047|LOC102462047,180,113,51,40,94,0,0,0,0
gene-LOC102462535|LOC102462535,717,529,340,338,433,559,1472,1396,645
gene-LOC102444484|LOC102444484,47,7,4,0,0,0,0,16,4
gene-LOC102463185|LOC102463185,188,0,30,16,12,0,0,16,3
gene-LOC112547744|LOC112547744,0,0,0,0,0,18,0,70,30
gene-LOC102445187|LOC102445187,4,0,0,9,13,26,38,75,28
gene-LOC106732880|LOC106732880,0,0,0,6,4,33,27,72,0
gene-LOC102443847|LOC102443847,0,0,0,0,0,0,0,0,0
gene-LOC102443604|LOC102443604,4,0,0,4,13,0,0,0,0
gene-LOC102444704|LOC102444704,1029,1307,419,2298,709,825,758,1546,372
gene-EWSR1|EWSR1,29941,28598,23632,38872,31527,4193,4439,6143,4741
gene-HSD17B10|HSD17B10,1071,548,0,1113,0,0,0,0,0
gene-LOC106732942|LOC106732942,1262,1215,1193,1563,1093,407,577,517,335
gene-LOC112543588|LOC112543588,887,669,631,650,636,210,617,393,1070
gene-LOC102446785|LOC102446785,23,5,0,16,25,1807,1319,3605,4764
gene-LOC102446389|LOC102446389,49,13,0,73,34,1362,1015,4515,5097
gene-LOC102445922|LOC102445922,2197,2406,1979,2786,2609,729,1329,1296,897
gene-APOLD1|APOLD1,22,5,28,15,28,636,20,95,2153
gene-LOC102447284|LOC102447284,2235,1517,1232,1369,1738,920,574,1161,839
gene-KIAA0754|KIAA0754,518,259,97,149,355,12,5,23,4
gene-GPRC5A|GPRC5A,4,6,19,45,36,0,0,18,0
gene-DDX47|DDX47,3535,3377,1802,4014,3153,968,951,1501,934
gene-HEBP1|HEBP1,2335,2482,2146,3337,3270,2430,2400,3227,3461
gene-FAM234B|FAM234B,1620,1126,772,813,1280,715,615,956,846
gene-EMP1|EMP1,1733,1224,1441,1218,1909,127,86,642,87
