gene_id,SRR11050679,SRR11647816,SRR11647817
gene-PYGB|PYGB,410,4,66
gene-ACSS1|ACSS1,1216,0,38
gene-EPCAM|EPCAM,1490,0,13
gene-LOC121930379|LOC121930379,7283,31,213
gene-ABHD12|ABHD12,1212,0,69
gene-NINL|NINL,279,0,0
gene-GINS1|GINS1,3823,0,11
gene-EIF4A3|EIF4A3,7760,0,52
gene-ATL2|ATL2,2956,20,257
gene-HNRNPLL|HNRNPLL,7460,3,64
gene-MORN2|MORN2,1111,0,0
gene-ARHGEF33|ARHGEF33,48,0,0
gene-GALM|GALM,185,0,21
gene-SRSF7|SRSF7,8396,0,34
gene-GEMIN6|GEMIN6,595,0,0
gene-DHX57|DHX57,1083,4,47
gene-SOS1|SOS1,2855,7,152
gene-MAP4K3|MAP4K3,1574,0,67
gene-TMEM178A|TMEM178A,913,0,51
gene-THUMPD2|THUMPD2,2789,0,9
gene-SLC8A1|SLC8A1,650,0,12
gene-MRPS5|MRPS5,3991,0,55
gene-MAL|MAL,179,0,0
gene-MALL|MALL,4,0,0
gene-MTLN|MTLN,417,0,3
gene-NPHP1|NPHP1,2026,0,0
gene-LOC121934302|LOC121934302,94,3,5
gene-BUB1|BUB1,11818,0,16
gene-BCL2L11|BCL2L11,1672,0,32
gene-LOC121922341|LOC121922341,78,0,0
gene-FBLN7|FBLN7,33,0,0
gene-MERTK|MERTK,617,0,31
gene-ANAPC1|ANAPC1,6761,0,43
gene-LOC121919816|LOC121919816,106,0,0
gene-ZC3H6|ZC3H6,3258,0,16
gene-TTL|TTL,446,0,65
gene-LOC121915899|LOC121915899,5,0,0
gene-POLR1B|POLR1B,7227,7,70
gene-PTCRA|PTCRA,215,0,0
gene-CNPY3|CNPY3,3683,0,15
gene-GNMT|GNMT,950,32,601
gene-PEX6|PEX6,5798,0,70
gene-LOC121925209|LOC121925209,10,0,0
gene-LOC121926182|LOC121926182,38,0,0
gene-RRP36|RRP36,1765,0,14
gene-PPP2R5D|PPP2R5D,6151,0,100
gene-MEA1|MEA1,1626,0,20
gene-KLHDC3|KLHDC3,1573,0,54
gene-LOC121919743|LOC121919743,152,0,50
gene-LOC121919744|LOC121919744,968,2,10
gene-LOC121919745|LOC121919745,9,0,8
gene-MRPL2|MRPL2,2071,21,118
gene-LOC121919370|LOC121919370,817,0,17
gene-KLC4|KLC4,2464,0,202
gene-LOC121918926|LOC121918926,237,0,0
gene-LOC121934547|LOC121934547,0,0,0
gene-SRF|SRF,479,0,16
gene-PTK7|PTK7,4741,11,222
gene-LOC121927137|LOC121927137,0,0,0
gene-LOC121916955|LOC121916955,18,0,0
