gene_id,SRR11524053,SRR11524076
gene-CCDC172|CCDC172,28,0
gene-PIK3C2B|PIK3C2B,614,299
gene-MDM4|MDM4,2112,464
gene-LOC120306128|LOC120306128,14,0
gene-LRRN2|LRRN2,215,64
gene-LOC120306145|LOC120306145,6,4
gene-NFASC|NFASC,186,29
gene-LOC120307012|LOC120307012,235,35
gene-AKAP1|AKAP1,560,292
gene-NF1|NF1,1360,589
gene-EVI2B|EVI2B,137,58
gene-OMG|OMG,48,39
gene-LOC120307069|LOC120307069,18,5993
gene-WSB1|WSB1,6664,466
gene-KSR1|KSR1,468,164
gene-LGALS9|LGALS9,1259,51
gene-NOS2|NOS2,176,44
gene-LYRM9|LYRM9,82,21
gene-NLK|NLK,1028,160
gene-TNFAIP1|TNFAIP1,219,73
gene-LOC120307156|LOC120307156,80,51
gene-IFT20|IFT20,149,97
gene-SGSM2|SGSM2,267,45
gene-MNT|MNT,216,89
gene-PAFAH1B1|PAFAH1B1,2245,947
gene-CCDC92B|CCDC92B,46,24
gene-CLUH|CLUH,908,440
gene-EXO5|EXO5,296,105
gene-RAP1GAP2|RAP1GAP2,55,251
gene-WSCD1|WSCD1,516,26
gene-CALN1|CALN1,65,17
gene-LOC120307387|LOC120307387,0,15
gene-LOC120307384|LOC120307384,349,679
gene-AUTS2|AUTS2,226,399
gene-LOC120307415|LOC120307415,0,4
gene-MED30|MED30,142,29
gene-AARD|AARD,68,5
gene-LOC120307492|LOC120307492,0,0
gene-EXT1|EXT1,564,148
gene-LOC120307399|LOC120307399,70,35
gene-RAD21|RAD21,2406,711
gene-UTP23|UTP23,252,63
gene-EIF3H|EIF3H,3078,1289
gene-LOC120307562|LOC120307562,3,2
gene-LOC120307558|LOC120307558,9,5
gene-TRPS1|TRPS1,130,142
gene-PSMG4|PSMG4,338,48
gene-NQO2|NQO2,101,0
gene-LOC120307646|LOC120307646,25,18
gene-RIPK1|RIPK1,722,256
gene-BPHL|BPHL,69,19
gene-TUBB2A|TUBB2A,529,19
gene-LOC120307612|LOC120307612,2091,35
gene-SLC22A23|SLC22A23,166,327
gene-PXDC1|PXDC1,428,58
gene-FAM217A|FAM217A,105,23
gene-LOC120307721|LOC120307721,45,15
gene-ECI2|ECI2,512,272
gene-PRPF4B|PRPF4B,4137,1291
gene-CDYL|CDYL,401,88
gene-LOC120307728|LOC120307728,150,19
gene-CACNA1A|CACNA1A,71,49
gene-LOC120307797|LOC120307797,18,20
gene-LOC120307792|LOC120307792,26,0
gene-MAN2B1|MAN2B1,1018,229
gene-TRMT1|TRMT1,442,139
gene-NACC1|NACC1,1277,341
gene-STX10|STX10,623,195
gene-IER2|IER2,1158,282
gene-WDR83OS|WDR83OS,227,84
gene-WDR83|WDR83,793,162
gene-FBXW9|FBXW9,301,124
gene-TNPO2|TNPO2,1189,543
gene-LOC120309526|LOC120309526,2,0
gene-LOC120307910|LOC120307910,720,170
gene-TRIR|TRIR,1013,275
gene-GET3|GET3,710,236
gene-HOOK2|HOOK2,1863,597
gene-LOC120308009|LOC120308009,26,0
gene-JUNB|JUNB,580,90
gene-PRDX2|PRDX2,708,18
gene-RNASEH2A|RNASEH2A,258,23
gene-RTBDN|RTBDN,36,10
gene-FABP6|FABP6,0,0
gene-CCNJL|CCNJL,78,13
gene-PWWP2A|PWWP2A,857,223
gene-TTC1|TTC1,631,90
gene-C1QTNF2|C1QTNF2,22,8
gene-SLU7|SLU7,2759,1074
gene-PTTG1|PTTG1,210,0
gene-ATP10B|ATP10B,0,91
gene-LOC120307507|LOC120307507,5,7
gene-GABRB2|GABRB2,9,38
gene-GABRG2|GABRG2,2,5
gene-CCNG1|CCNG1,161,23
gene-NUDCD2|NUDCD2,277,59
gene-HMMR|HMMR,74,6
gene-MAT2B|MAT2B,621,137
gene-LOC120308157|LOC120308157,5,11
gene-ABCC3|ABCC3,796,726
gene-ANKRD40|ANKRD40,364,96
gene-WFIKKN2|WFIKKN2,10,28
gene-LOC120308199|LOC120308199,101,53
gene-LUC7L3|LUC7L3,4861,919
gene-LOC120308218|LOC120308218,4,8
gene-TOB1|TOB1,2437,491
gene-SPAG9|SPAG9,1396,407
gene-LOC120308267|LOC120308267,5207,3955
gene-MBTD1|MBTD1,1140,640
gene-UTP18|UTP18,375,47
gene-LOC120308277|LOC120308277,35,7
gene-SLC16A3|SLC16A3,268,46
gene-CSNK1D|CSNK1D,3195,823
gene-CCDC57|CCDC57,400,122
gene-FASN|FASN,3806,1368
gene-LOC120309514|LOC120309514,0,0
gene-LRRC45|LRRC45,355,142
gene-CENPX|CENPX,334,27
gene-RFNG|RFNG,747,245
gene-DUS1L|DUS1L,754,252
gene-GPS1|GPS1,991,248
gene-DCXR|DCXR,175,33
gene-RAC3|RAC3,977,68
gene-MYADML2|MYADML2,2,17
gene-PYCR1|PYCR1,255,141
gene-NOTUM|NOTUM,122,22
gene-ASPSCR1|ASPSCR1,942,223
gene-MAFG|MAFG,810,444
gene-SIRT7|SIRT7,158,74
gene-NPB|NPB,97,10
gene-PCYT2|PCYT2,510,319
gene-ANAPC11|ANAPC11,670,158
gene-ALYREF|ALYREF,1191,267
gene-LOC120308539|LOC120308539,0,0
gene-ARHGDIA|ARHGDIA,2312,1012
gene-GCGR|GCGR,25,20
gene-MCRIP1|MCRIP1,668,160
gene-SLC25A10|SLC25A10,287,254
gene-MRPL12|MRPL12,365,118
gene-P4HB|P4HB,34329,91548
gene-ARL16|ARL16,100,52
gene-HGS|HGS,1743,945
gene-TMC6|TMC6,230,112
gene-LOC120308654|LOC120308654,20,13
gene-SYNGR2|SYNGR2,831,709
gene-TK1|TK1,437,251
gene-AFMID|AFMID,234,7
gene-TMEM235|TMEM235,0,5
gene-BIRC5|BIRC5,458,6
gene-SOCS3|SOCS3,160,51
gene-DNAH17|DNAH17,189,56
gene-PGS1|PGS1,281,87
gene-CYTH1|CYTH1,575,251
gene-LOC120307511|LOC120307511,48,53
gene-USP36|USP36,891,365
gene-TIMP2|TIMP2,2192,330
