gene-LOC114584040|LOC114584040,0,210
gene-LOC114585925|LOC114585925,63,10
gene-LOC114589436|LOC114589436,2,263
gene-LOC114588340|LOC114588340,0,16
gene-PLA2G4F|PLA2G4F,236,348
gene-VPS39|VPS39,2863,5168
gene-TMEM87A|TMEM87A,3081,11738
gene-GANC|GANC,136,527
gene-CAPN3|CAPN3,4953,97
gene-ZNF106|ZNF106,8356,19439
gene-LOC114594412|LOC114594412,90,1351
gene-SNAP23|SNAP23,1748,5354
gene-LRRC57|LRRC57,1689,4071
gene-HAUS2|HAUS2,127,2986
gene-CDAN1|CDAN1,109,4202
gene-LOC114594448|LOC114594448,424,1438
gene-STARD9|STARD9,943,17348
gene-TTBK2|TTBK2,48,1796
gene-LOC114594478|LOC114594478,3,68
gene-TMEM62|TMEM62,107,519
gene-ELMSAN1|ELMSAN1,395,1063
gene-UBR1|UBR1,5880,13477
gene-DNAL1|DNAL1,488,7960
gene-LOC114594511|LOC114594511,510,899
gene-HEATR4|HEATR4,26,4887
gene-LOC114594539|LOC114594539,938,2974
gene-RIOX1|RIOX1,564,2035
gene-LOC114594597|LOC114594597,21,347
gene-NUMB|NUMB,554,6032
gene-PAPLN|PAPLN,231,1233
gene-PSEN1|PSEN1,4179,14223
gene-DCAF4|DCAF4,591,12122
gene-DPF3|DPF3,65,2803
gene-LOC114594679|LOC114594679,1,12
gene-RGS6|RGS6,0,3197
gene-RBM25|RBM25,7586,36832
gene-ZFYVE1|ZFYVE1,4241,5609
gene-SIPA1L1|SIPA1L1,595,5976
gene-MAP3K9|MAP3K9,3,519
gene-PCNX1|PCNX1,1035,3795
gene-LOC114594814|LOC114594814,1,256
gene-LOC114594767|LOC114594767,0,260
gene-LOC114591380|LOC114591380,0,161
gene-TTC9|TTC9,1738,195
gene-MED6|MED6,2234,6402
gene-LOC114594771|LOC114594771,4,1634
gene-LOC114584993|LOC114584993,77,0
gene-LOC114594879|LOC114594879,0,0
gene-LOC114594860|LOC114594860,0,26
gene-SLC8A3|SLC8A3,234,405
gene-SYNJ2BP|SYNJ2BP,21594,8238
gene-LOC114594864|LOC114594864,1800,3404
gene-SUSD6|SUSD6,2222,10379
gene-CCDC177|CCDC177,12,189
gene-SRSF5|SRSF5,18771,47601
gene-SLC39A9|SLC39A9,2441,9708
gene-ERH|ERH,5689,43799
gene-GALNT16|GALNT16,496,2510
gene-LOC114594997|LOC114594997,0,271
gene-LOC114585764|LOC114585764,0,0
gene-EXD2|EXD2,686,4813
gene-LOC114595026|LOC114595026,0,27
gene-ACTN1|ACTN1,633,2514
gene-DCAF5|DCAF5,5173,13501
gene-LOC114595033|LOC114595033,26,311
gene-LOC114595069|LOC114595069,6595,56784
gene-LOC114595188|LOC114595188,0,600
gene-ZFP36L1|ZFP36L1,2136,11471
gene-TMEM229B|TMEM229B,107,780
gene-PLEKHH1|PLEKHH1,5,1999
gene-PIGH|PIGH,473,2321
gene-LOC114595147|LOC114595147,21,3333
gene-LOC114595204|LOC114595204,0,31
gene-RAD51B|RAD51B,14,1142
gene-TRNAF-GAA|TRNAF-GAA,0,1
gene-LOC114595368|LOC114595368,212,4020
gene-LOC114594591|LOC114594591,35,206
gene-LOC114594736|LOC114594736,16,2528
gene-ARG2|ARG2,2568,6293
gene-VTI1B|VTI1B,2024,5445
gene-LOC114595334|LOC114595334,153,13809
gene-LOC114595409|LOC114595409,62,3778
gene-ZFYVE26|ZFYVE26,543,4054
gene-LOC114585397|LOC114585397,140,355
gene-FUT8|FUT8,370,4157
gene-C1QTNF4|C1QTNF4,13,153
gene-FAM180B|FAM180B,56,584
gene-LOC114595582|LOC114595582,0,596
gene-GPHN|GPHN,2653,8800
gene-MPP5|MPP5,546,2473
gene-FAM71D|FAM71D,72,213
gene-RAPSN|RAPSN,2109,818
gene-KBTBD4|KBTBD4,1228,3888
gene-NDUFS3|NDUFS3,11137,5550
gene-PTPMT1|PTPMT1,2961,1187
gene-CELF1|CELF1,25953,18437
gene-PSMC3|PSMC3,42246,16268
gene-LOC114595706|LOC114595706,1240,765
gene-SPI1|SPI1,324,203
gene-SLC39A13|SLC39A13,9449,4443
gene-LOC114595765|LOC114595765,142,1475
gene-MYBPC3|MYBPC3,2336,7220
gene-MADD|MADD,725,9435
gene-NR1H3|NR1H3,1120,8036
gene-DDB2|DDB2,70,6225
gene-ACP2|ACP2,791,5260
gene-LOC114585623|LOC114585623,0,1
gene-CKAP5|CKAP5,1924,42113
gene-F2|F2,84,297
gene-ZNF408|ZNF408,891,3233
gene-ARHGAP1|ARHGAP1,2426,26206
gene-C1H11orf49|C1H11orf49,31,8398
gene-PACSIN3|PACSIN3,27447,1033
gene-THAP9|THAP9,161,742
gene-ARFGAP2|ARFGAP2,13890,11502
gene-LRP4|LRP4,212,5911
gene-AMBRA1|AMBRA1,1210,8501
gene-CHRM4|CHRM4,0,104
gene-MDK|MDK,206,9736
gene-ATG13|ATG13,8539,35065
gene-HARBI1|HARBI1,175,1315
gene-CREB3L1|CREB3L1,180,4058
gene-LOC114596058|LOC114596058,0,1138
gene-DGKZ|DGKZ,1686,21064
gene-MAPK8IP1|MAPK8IP1,64,3795
gene-PHF21A|PHF21A,1143,8793
gene-LARGE2|LARGE2,835,13099
gene-PEX16|PEX16,1046,2665
gene-SLC35C1|SLC35C1,352,3275
gene-CHST1|CHST1,10,129
gene-LOC114596142|LOC114596142,16,46
gene-CRY2|CRY2,9365,14140
gene-LOC114596173|LOC114596173,0,34
gene-LOC114596181|LOC114596181,2,114
gene-SYT13|SYT13,9,56
gene-LOC114596187|LOC114596187,653,998
gene-TP53I11|TP53I11,51,1872
gene-PRDM11|PRDM11,849,1869
gene-LOC114596209|LOC114596209,1520,965
gene-TSPAN18|TSPAN18,216,3031
gene-CD82|CD82,1240,7191
gene-ACCS|ACCS,214,2950
gene-ALX4|ALX4,0,296
gene-EXT2|EXT2,1834,14140
gene-C1H11orf96|C1H11orf96,500,1036
gene-ALKBH3|ALKBH3,6222,10955
gene-HSD17B12|HSD17B12,1613,21120
gene-LOC114596313|LOC114596313,5,2508
gene-TTC17|TTC17,2292,6431
gene-API5|API5,8195,17892
gene-LRRC4C|LRRC4C,24,11
gene-RAG1|RAG1,2,0
gene-LOC114596368|LOC114596368,0,294
gene-PRR5L|PRR5L,24,546
gene-COMMD9|COMMD9,969,3242
gene-LOC114583941|LOC114583941,312,888
gene-LDLRAD3|LDLRAD3,529,196
gene-TRIM44|TRIM44,575,3473
gene-FJX1|FJX1,67,149
gene-PAMR1|PAMR1,240,277
gene-SLC1A2|SLC1A2,27,127
gene-CD44|CD44,1285,463
gene-LOC114585720|LOC114585720,0,0
gene-PDHX|PDHX,4267,5680
gene-APIP|APIP,972,9759
gene-TRAF2|TRAF2,276,899
gene-LOC114596547|LOC114596547,0,509
gene-LOC114596534|LOC114596534,2175,17745
gene-LOC114596555|LOC114596555,12,41
gene-LOC114596508|LOC114596508,146,680
gene-NAT10|NAT10,633,5803
