gene_id,SRR28919955,SRR28919960,SRR28919961,SRR28919962,SRR28919963,SRR28919964
gene-RGS6|RGS6,10,0,0,13,84,0
gene-LOC136637970|LOC136637970,0,0,0,0,0,0
gene-SIPA1L1|SIPA1L1,663,157,308,943,4040,781
gene-TTC9|TTC9,0,0,0,36,67,0
gene-MAP3K9|MAP3K9,145,0,0,92,492,628
gene-PCNX1|PCNX1,335,345,254,510,1446,171
gene-SYNJ2BP|SYNJ2BP,0,0,0,0,0,0
gene-MED6|MED6,244,42,21,131,186,111
gene-COX16|COX16,0,0,0,0,0,0
gene-SLC8A3|SLC8A3,14,0,0,4,26,16
gene-LOC136638130|LOC136638130,0,0,0,0,0,0
gene-LOC136637643|LOC136637643,0,0,0,0,0,0
gene-LOC136637895|LOC136637895,0,0,0,0,0,0
gene-SMOC1|SMOC1,22,60,43,0,95,0
gene-PLEKHD1|PLEKHD1,0,0,0,0,0,0
gene-SUSD6|SUSD6,22,44,20,6,21,15
gene-SLC39A9|SLC39A9,113,73,38,55,149,105
gene-SRSF5|SRSF5,5071,4464,2852,1165,3037,5060
gene-EXD2|EXD2,0,0,0,29,90,0
gene-GALNT16|GALNT16,36,0,0,0,48,22
gene-ERH|ERH,3882,531,226,1215,4918,4986
gene-DCAF5|DCAF5,276,128,82,187,1008,358
gene-ACTN1|ACTN1,105,190,59,118,161,423
gene-LOC136637987|LOC136637987,0,0,0,0,0,0
gene-LOC136655871|LOC136655871,3328,895,745,750,2434,7055
gene-ZFP36L1|ZFP36L1,512,1753,824,268,2073,653
gene-TMEM229B|TMEM229B,5,12,13,37,76,100
gene-PIGH|PIGH,15,27,16,23,129,19
gene-PLEKHH1|PLEKHH1,48,0,12,30,156,0
gene-LOC136655992|LOC136655992,62,6,0,105,483,128
gene-ARG2|ARG2,23,48,73,62,60,0
gene-VTI1B|VTI1B,297,31,20,99,110,556
gene-LOC136663836|LOC136663836,0,0,0,8,10,0
gene-PLEK2|PLEK2,0,0,0,167,1932,0
gene-RAD51B|RAD51B,2,0,0,2,6,8
gene-LOC136638156|LOC136638156,0,0,0,0,0,0
gene-ZFYVE26|ZFYVE26,85,40,28,388,1140,90
gene-EIF2S1|EIF2S1,1261,382,240,905,6022,4267
gene-ATP6V1D|ATP6V1D,640,162,93,477,5330,3252
gene-PALS1|PALS1,148,248,139,95,790,536
gene-C1QTNF4|C1QTNF4,40,0,0,158,504,4
gene-FUT8|FUT8,411,25,38,395,2475,1147
gene-LOC136637559|LOC136637559,0,0,0,0,0,0
gene-NDUFS3|NDUFS3,317,135,101,255,332,340
gene-GPHN|GPHN,2949,547,449,1198,1521,4166
gene-RAPSN|RAPSN,15,0,0,0,0,0
gene-KBTBD4|KBTBD4,299,52,36,399,562,560
gene-PTPMT1|PTPMT1,0,0,0,0,0,0
gene-CELF1|CELF1,1416,1008,589,846,1684,607
gene-LOC136651870|LOC136651870,25,0,0,0,20,24
gene-PSMC3|PSMC3,1422,437,195,602,2809,3834
gene-SLC39A13|SLC39A13,137,33,19,216,150,79
gene-SPI1|SPI1,10,45,31,0,24,24
gene-LOC136657023|LOC136657023,0,0,0,0,0,0
gene-MYBPC3|MYBPC3,61,0,0,41,0,13
gene-ACP2|ACP2,0,0,0,0,0,0
gene-NR1H3|NR1H3,0,79,55,0,3,3
gene-DDB2|DDB2,44,0,0,9,10,30
gene-PACSIN3|PACSIN3,146,467,399,783,6701,168
gene-ARFGAP2|ARFGAP2,140,77,28,185,789,476
gene-MADD|MADD,1145,313,257,1759,6092,1754
