gene-SYNDIG1L|SYNDIG1L,57,150,0
gene-VSX2|VSX2,8,1509,4
gene-LOC128341145|LOC128341145,0,20,0
gene-ABCD4|ABCD4,1220,1265,1734
gene-LOC128328325|LOC128328325,478,56,719
gene-LOC128328351|LOC128328351,6,39,16
gene-LOC128341402|LOC128341402,10,26,18
gene-LOC128341404|LOC128341404,3,6,0
gene-LOC128341405|LOC128341405,11,24,18
gene-LOC128340716|LOC128340716,0,8,4
gene-LOC128340715|LOC128340715,306,1960,342
gene-LOC128340825|LOC128340825,0,9,4
gene-LOC128340824|LOC128340824,451,6777,412
gene-ALDH6A1|ALDH6A1,5204,1663,3532
gene-BBOF1|BBOF1,133,1867,169
gene-ENTPD5|ENTPD5,3090,3760,3955
gene-FAM161B|FAM161B,137,5630,379
gene-LIN52|LIN52,697,2572,573
gene-COQ6|COQ6,308,3380,799
gene-MIA2|MIA2,4158,9990,4684
gene-FBXO33|FBXO33,1049,13426,1140
gene-PNN|PNN,3112,19904,5769
gene-TRAPPC6B|TRAPPC6B,711,5232,1733
gene-GEMIN2|GEMIN2,325,2050,337
gene-PROSER1|PROSER1,212,9214,517
gene-LOC128341406|LOC128341406,11,24,18
gene-LOC128341220|LOC128341220,25,279,110
gene-SEC23A|SEC23A,5986,10304,5234
gene-CLEC14A|CLEC14A,35,106,34
gene-SSTR1|SSTR1,75,17,2
gene-TTC6|TTC6,0,192,0
gene-LOC128340235|LOC128340235,4,12,0
gene-FOXA1|FOXA1,3982,581,2482
gene-MIPOL1|MIPOL1,82,1508,93
gene-NKX2-1|NKX2-1,11,19,0
gene-MBIP|MBIP,924,9267,1048
gene-SLC25A21|SLC25A21,367,169,235
gene-LOC128339655|LOC128339655,0,74,0
gene-LOC128339656|LOC128339656,0,58,0
gene-LOC128340598|LOC128340598,0,51,0
gene-BRMS1L|BRMS1L,66,12190,143
gene-LOC128340597|LOC128340597,6,210,7
gene-RALGAPA1|RALGAPA1,437,6447,673
gene-LOC128340387|LOC128340387,0,4,0
gene-TRNAI-UAU|TRNAI-UAU,0,0,0
gene-NFKBIA|NFKBIA,1678,988,2520
gene-PSMA6|PSMA6,2159,5591,1556
gene-LOC128326919|LOC128326919,6,48,52
gene-PRORP|PRORP,148,6240,275
gene-PPP2R3C|PPP2R3C,704,10489,1230
gene-LOC128326913|LOC128326913,6,0,0
gene-SRP54|SRP54,4474,16912,5109
gene-LOC128326901|LOC128326901,89,1133,174
gene-CFL2|CFL2,87,2158,22
gene-BAZ1A|BAZ1A,2161,22548,4620
gene-SNX6|SNX6,1379,12902,1795
gene-LOC128341089|LOC128341089,0,4,1
gene-LOC128341083|LOC128341083,438,1445,586
gene-EAPP|EAPP,1003,7776,996
gene-SPTSSA|SPTSSA,2449,7163,961
gene-EGLN3|EGLN3,346,1080,76
gene-LOC128345350|LOC128345350,0,0,0
gene-AKAP6|AKAP6,12,908,11
gene-LOC128345356|LOC128345356,264,333,455
gene-ARHGAP5|ARHGAP5,2145,3019,3915
gene-NPAS3|NPAS3,13,84,0
gene-LOC128339270|LOC128339270,0,0,0
gene-LOC128339267|LOC128339267,0,0,0
gene-LOC128339266|LOC128339266,0,0,0
gene-LOC128339269|LOC128339269,0,0,0
gene-LOC128339264|LOC128339264,0,12,0
gene-DTD2|DTD2,7,1550,15
gene-NUBPL|NUBPL,871,2972,1377
gene-HEATR5A|HEATR5A,1122,1463,1922
gene-LOC128351554|LOC128351554,0,18,0
gene-HECTD1|HECTD1,2426,10639,5283
gene-LOC128339851|LOC128339851,0,0,10
gene-COCH|COCH,156,2520,155
gene-AP4S1|AP4S1,683,2822,708
gene-STRN3|STRN3,1483,5496,1828
gene-SCFD1|SCFD1,1319,6303,1216
gene-G2E3|G2E3,163,1105,736
gene-LOC128339238|LOC128339238,0,7,0
gene-LOC128351622|LOC128351622,0,26,0
gene-PRKD1|PRKD1,48,423,30
gene-FOXG1|FOXG1,51,128,3
gene-NOVA1|NOVA1,97,1279,9
gene-LOC128341334|LOC128341334,0,0,0
gene-LOC128326174|LOC128326174,0,0,0
gene-LOC128340573|LOC128340573,34,0,34
gene-GJD2|GJD2,13,7,10
gene-LOC128340636|LOC128340636,0,25,0
gene-ACTC1|ACTC1,57,51249,17
gene-STXBP6|STXBP6,173,6747,279
gene-LOC128340633|LOC128340633,4,0,0
gene-AQR|AQR,1306,6112,1872
gene-LOC128339749|LOC128339749,7,0,0
gene-DPH6|DPH6,84,649,54
gene-LOC128337628|LOC128337628,0,0,0
gene-LOC128337621|LOC128337621,2,11,0
gene-LOC128349684|LOC128349684,0,0,0
gene-LOC128349679|LOC128349679,0,139,0
gene-LOC128349681|LOC128349681,0,0,0
gene-CDIN1|CDIN1,127,5523,164
gene-LOC128349686|LOC128349686,0,0,0
gene-MEIS2|MEIS2,71,8847,38
gene-LOC128340971|LOC128340971,0,7,0
gene-SPRED1|SPRED1,1230,8383,964
gene-FAM98B|FAM98B,917,5635,1152
gene-SCG5|SCG5,231,162,0
gene-RASGRP1|RASGRP1,190,293,500
gene-ARHGAP11A|ARHGAP11A,126,2094,302
gene-FMN1|FMN1,59,111,174
gene-KATNBL1|KATNBL1,203,9355,235
gene-EMC7|EMC7,3166,8917,1789
gene-RYR3|RYR3,114,135,34
gene-LOC128338325|LOC128338325,0,0,0
gene-LOC128338341|LOC128338341,0,8,0
gene-LOC128338322|LOC128338322,0,0,0
gene-AVEN|AVEN,162,1868,143
gene-LOC128338337|LOC128338337,0,0,0
gene-LOC128338330|LOC128338330,0,2,0
gene-CHRM5|CHRM5,16,6,0
gene-THBS1|THBS1,49,1388,190
gene-FSIP1|FSIP1,0,238,0
gene-LOC128328032|LOC128328032,0,8,0
gene-GPR176|GPR176,12,89,24
gene-EIF2AK4|EIF2AK4,1417,8141,3195
gene-SRP14|SRP14,3028,5049,3125
gene-BMF|BMF,215,1123,511
gene-BUB1B|BUB1B,154,18512,342
gene-ANKRD63|ANKRD63,15,0,42
gene-PAK6|PAK6,339,2750,450
gene-LOC128341425|LOC128341425,0,0,0
gene-INAFM2|INAFM2,53,2264,19
gene-PLCB2|PLCB2,30,261,119
gene-DISP2|DISP2,28,2104,0
gene-LOC128340460|LOC128340460,0,4086,40
gene-IVD|IVD,1565,3829,517
gene-BAHD1|BAHD1,712,9496,785
gene-LOC128352112|LOC128352112,5,195,0
gene-CHST14|CHST14,110,727,101
gene-CCDC32|CCDC32,677,4232,268
gene-LOC128328881|LOC128328881,451,4178,608
gene-RPUSD2|RPUSD2,516,8417,1253
gene-RAD51|RAD51,11,15813,38
gene-KNL1|KNL1,11,10766,4
gene-LOC128328092|LOC128328092,0,7,0
gene-LOC128328075|LOC128328075,20,586,4
gene-RMDN3|RMDN3,126,1772,70
gene-SPINT1|SPINT1,37,22357,38
gene-ZFYVE19|ZFYVE19,422,7357,432
gene-GCHFR|GCHFR,4175,6477,1698
gene-DNAJC17|DNAJC17,491,5590,809
gene-C1H15orf62|C1H15orf62,18,30,127
gene-VPS18|VPS18,1319,15436,1300
gene-LOC128340065|LOC128340065,0,0,0
gene-LOC128340064|LOC128340064,20,0,0
gene-LOC128339492|LOC128339492,0,172,0
gene-DLL4|DLL4,335,1351,289
gene-CHAC1|CHAC1,6,1153,78
gene-INO80|INO80,1426,5116,2923
gene-EXD1|EXD1,16,5979,29
gene-CHP1|CHP1,5424,24779,4495
gene-NUSAP1|NUSAP1,36,210,91
gene-LOC128340563|LOC128340563,4508,7121,4094
gene-OIP5|OIP5,4,3605,19
gene-NDUFAF1|NDUFAF1,924,15649,724
gene-LOC128340564|LOC128340564,2,2,5
gene-RTF1|RTF1,7923,16140,14777
gene-LTK|LTK,9,241,23
gene-ITPKA|ITPKA,6693,256,7477
